LocationDesc,Class,Topic,Question,Data_Value_Type,Stratification1,Stratification2,target
Ohio,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Hispanic,1
West,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Female,0
Tennessee,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Female,1
Oregon,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,,1
Tennessee,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Male,0
Montana,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Male,0
Idaho,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Female,1
New York,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Male,0
Michigan,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,Female,0
Texas,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,"White, non-Hispanic",1
Alaska,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Male,0
West,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,,1
South,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Hispanic,1
Kansas,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,Hispanic,1
Pennsylvania,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,"Black, non-Hispanic",1
Rhode Island,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Hispanic,1
Montana,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,,0
Idaho,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,,1
Massachusetts,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,,0
Northeast,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,"White, non-Hispanic",0
Massachusetts,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,,0
Illinois,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,,0
Indiana,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Male,1
Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,"White, non-Hispanic",0
New Jersey,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Male,0
Midwest,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,,0
Maine,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,"White, non-Hispanic",1
Maryland,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,"White, non-Hispanic",1
Washington,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,"White, non-Hispanic",1
South,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Male,0
Maryland,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Native Am/Alaskan Native,1
Arizona,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,,1
New York,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Hispanic,1
South,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Hispanic,1
Hawaii,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Male,0
Georgia,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,,1
South,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Male,1
Wyoming,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,"White, non-Hispanic",0
Mississippi,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,"Black, non-Hispanic",1
North Dakota,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Male,0
North Carolina,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Native Am/Alaskan Native,1
West,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,"White, non-Hispanic",1
Minnesota,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,,0
Oklahoma,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,"Black, non-Hispanic",0
Indiana,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Female,1
Iowa,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Female,1
New Mexico,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Female,1
Guam,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,Asian/Pacific Islander,0
Midwest,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Asian/Pacific Islander,0
Wyoming,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,,1
North Carolina,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,"Black, non-Hispanic",1
Nebraska,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,,0
Wisconsin,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Female,1
Wyoming,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Male,0
North Carolina,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,,1
District of Columbia,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,"Black, non-Hispanic",1
Missouri,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Male,0
Kentucky,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Female,1
Arkansas,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,"White, non-Hispanic",1
South,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,"Black, non-Hispanic",1
Kansas,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,"White, non-Hispanic",1
Georgia,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Female,1
Midwest,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,Male,0
"United States, DC & Territories",Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,Native Am/Alaskan Native,1
New Jersey,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,"Black, non-Hispanic",0
